fecha_descarga,periodo,socio_comercial,codigo_producto,valor_usd,peso_neto_kg
2026-08-31T22:20:37.057640,202410,Espana,0803,1455408.76,2354146.0
2026-08-31T22:20:44.511948,202411,Espana,0803,10078.2,4230.0
2026-08-31T22:20:44.511979,202411,PaisesBajos,0803,28178.0,5216.0
2026-08-31T22:20:44.511987,202411,Espana,0803,10078.2,4230.0
2026-08-31T22:20:44.511994,202411,PaisesBajos,0803,28178.0,5216.0
2026-08-31T22:20:44.512010,202411,Espana,0803,1054300.17,1857357.4
2026-08-31T22:20:44.512021,202411,PaisesBajos,0803,28627691.65,39558208.6
2026-08-31T22:20:44.512070,202411,Espana,0803,1054300.17,1857357.4
2026-08-31T22:20:44.512080,202411,PaisesBajos,0803,28627691.65,39558208.6
2026-08-31T22:20:44.512101,202411,Espana,0803,1064378.37,1861587.4
2026-08-31T22:20:44.512111,202411,PaisesBajos,0803,28655869.65,39563424.6
2026-08-31T22:20:44.512131,202411,Espana,0803,1064378.37,1861587.4
2026-08-31T22:20:44.512141,202411,PaisesBajos,0803,28655869.65,39563424.6
2026-08-31T22:20:44.512160,202411,Espana,0803,10078.2,4230.0
2026-08-31T22:20:44.512167,202411,PaisesBajos,0803,28178.0,5216.0
2026-08-31T22:20:44.512174,202411,Espana,0803,10078.2,4230.0
2026-08-31T22:20:44.512181,202411,PaisesBajos,0803,28178.0,5216.0
2026-08-31T22:20:44.512188,202411,Espana,0803,1054300.17,1857357.4
2026-08-31T22:20:44.512198,202411,PaisesBajos,0803,28627691.65,39558208.6
2026-08-31T22:20:44.512220,202411,Espana,0803,1054300.17,1857357.4
2026-08-31T22:20:44.512230,202411,PaisesBajos,0803,28627691.65,39558208.6
2026-08-31T22:20:44.512249,202411,Espana,0803,1064378.37,1861587.4
2026-08-31T22:20:44.512259,202411,PaisesBajos,0803,28655869.65,39563424.6
2026-08-31T22:20:44.512279,202411,Espana,0803,1064378.37,1861587.4
2026-08-31T22:20:44.512289,202411,PaisesBajos,0803,28655869.65,39563424.6
2026-08-31T22:20:52.603648,202412,Espana,0803,5092.14,1791.0
2026-08-31T22:20:52.603673,202412,PaisesBajos,0803,19264.0,3670.0
2026-08-31T22:20:52.603680,202412,Espana,0803,5092.14,1791.0
2026-08-31T22:20:52.603684,202412,PaisesBajos,0803,19264.0,3670.0
2026-08-31T22:20:52.603696,202412,Espana,0803,1403694.77,2525360.4
2026-08-31T22:20:52.603702,202412,PaisesBajos,0803,29867253.93,36067728.24
2026-08-31T22:20:52.603715,202412,Espana,0803,1403694.77,2525360.4
2026-08-31T22:20:52.603721,202412,PaisesBajos,0803,29867253.93,36067728.24
2026-08-31T22:20:52.603734,202412,Espana,0803,1408786.91,2527151.4
2026-08-31T22:20:52.603738,202412,PaisesBajos,0803,29886517.93,36071398.24
2026-08-31T22:20:52.603750,202412,Espana,0803,1408786.91,2527151.4
2026-08-31T22:20:52.603756,202412,PaisesBajos,0803,29886517.93,36071398.24
2026-08-31T22:20:52.603765,202412,PaisesBajos,0803,19264.0,3670.0
2026-08-31T22:20:52.603768,202412,Espana,0803,5092.14,1791.0
2026-08-31T22:20:52.603773,202412,PaisesBajos,0803,19264.0,3670.0
2026-08-31T22:20:52.603777,202412,Espana,0803,5092.14,1791.0
2026-08-31T22:20:52.603787,202412,PaisesBajos,0803,29886517.93,36071398.24
2026-08-31T22:20:52.603791,202412,Espana,0803,1408786.91,2527151.4
2026-08-31T22:20:52.603805,202412,PaisesBajos,0803,29886517.93,36071398.24
2026-08-31T22:20:52.603809,202412,Espana,0803,1408786.91,2527151.4
2026-08-31T22:20:52.603821,202412,PaisesBajos,0803,29867253.93,36067728.24
2026-08-31T22:20:52.603826,202412,Espana,0803,1403694.77,2525360.4
2026-08-31T22:20:52.603838,202412,PaisesBajos,0803,29867253.93,36067728.24
2026-08-31T22:20:52.603842,202412,Espana,0803,1403694.77,2525360.4
2026-08-31T22:21:00.008604,202601,PaisesBajos,0803,887.44,315.0
2026-08-31T22:21:00.008628,202601,Espana,0803,25231.5,11025.0
2026-08-31T22:21:00.008636,202601,PaisesBajos,0803,887.44,315.0
2026-08-31T22:21:00.008640,202601,Espana,0803,25231.5,11025.0
2026-08-31T22:21:00.008656,202601,PaisesBajos,0803,38638873.66,49635806.86
2026-08-31T22:21:00.008667,202601,Espana,0803,5924437.47,6712013.34
2026-08-31T22:21:00.008686,202601,PaisesBajos,0803,38638873.66,49635806.86
